id_user,locality,speciality
43255,"A Coruña","Herencias y Testamentos"
43255,"A Coruña",Familia
43255,"A Coruña","Accidentes de tráfico"
43254,Madrid,"Seguridad Social"
43254,Madrid,Laboral
43253,Oviedo,Laboral
43253,Oviedo,Civil
43253,Oviedo,Divorcios
43253,Oviedo,"Seguridad Social"
43253,Oviedo,"Herencias y Testamentos"
43251,"Jerez de la Frontera","Reclamaciones de cantidad"
43251,"Jerez de la Frontera",Concursal
43251,"Jerez de la Frontera","Herencias y Testamentos"
43251,"Jerez de la Frontera",Administrativo
43251,"Jerez de la Frontera",Civil
43251,"Jerez de la Frontera",Inmobiliario
43251,"Jerez de la Frontera",Médico-Sanitario
43251,"Jerez de la Frontera",Mercantil
43251,"Jerez de la Frontera",Penal
43251,"Jerez de la Frontera",Divorcios
43250,Barcelona,Divorcios
43250,Madrid,Divorcios
43250,Barcelona,Civil
43250,Madrid,Civil
43250,Barcelona,Concursal
43250,Madrid,Concursal
43250,Barcelona,"Herencias y Testamentos"
43250,Madrid,"Herencias y Testamentos"
43250,Barcelona,Inmobiliario
43250,Madrid,Inmobiliario
43250,Barcelona,Mercantil
43250,Madrid,Mercantil
43247,"Donostia/San Sebastián",Familia
43247,"Donostia/San Sebastián",General
43247,"Donostia/San Sebastián","Hipotecario y Notarial"
43247,"Donostia/San Sebastián",Inmobiliario
43247,"Donostia/San Sebastián",Internacional
43247,"Donostia/San Sebastián",Laboral
43247,"Donostia/San Sebastián",Marítimo
43247,"Donostia/San Sebastián","Mediación y Arbitraje"
43247,"Donostia/San Sebastián",Médico-Sanitario
43247,"Donostia/San Sebastián","Medio ambiente"
43247,"Donostia/San Sebastián",Mercantil
43247,"Donostia/San Sebastián",Militar
43247,"Donostia/San Sebastián","Nuevas tecnologías"
43247,"Donostia/San Sebastián",Penal
43247,"Donostia/San Sebastián",Procesal
43247,"Donostia/San Sebastián","Propiedad Industrial"
43247,"Donostia/San Sebastián","Accidentes de tráfico"
43247,"Donostia/San Sebastián",Administrativo
43247,"Donostia/San Sebastián",Agrario
43247,"Donostia/San Sebastián",Civil
43247,"Donostia/San Sebastián",Comunitario
43247,"Donostia/San Sebastián",Constitucional
43247,"Donostia/San Sebastián",Deportivo
43247,"Donostia/San Sebastián",Desahucios
43247,"Donostia/San Sebastián",Cooperativas
43247,"Donostia/San Sebastián",Divorcios
43247,"Donostia/San Sebastián","Derecho bancario"
43247,"Donostia/San Sebastián","Reclamaciones de cantidad"
43247,"Donostia/San Sebastián","Seguridad Social"
43247,"Donostia/San Sebastián",Telecomunicaciones
43247,"Donostia/San Sebastián",Tributario-Fiscal
43247,"Donostia/San Sebastián",Urbanismo
43247,"Donostia/San Sebastián","Consumidores y Usuarios"
43247,"Donostia/San Sebastián","Recurso de multas"
43247,"Donostia/San Sebastián",Adopciones
43247,"Donostia/San Sebastián",Seguros
43247,"Donostia/San Sebastián","Comunidad de propietarios"
